               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.072018,            0.039583,            0.019742,             0.73628,             0.33726,             0.52265,             0.10191,            0.070486,             0.03507,             0.02019,             0.00307,             0.00307,             0.00307
                  37,              0.0706,            0.035515,            0.017571,             0.81433,              0.1875,              0.4882,            0.096538,            0.069923,            0.035033,            0.019897,            0.002872,            0.002872,            0.002872
                  38,            0.070142,            0.035604,            0.018733,             0.74337,               0.375,             0.60598,             0.17568,             0.06447,            0.036236,            0.019614,            0.002674,            0.002674,            0.002674
                  39,            0.070793,            0.034932,            0.016318,             0.83511,               0.375,             0.61216,             0.25476,            0.062639,            0.036327,            0.019394,            0.002476,            0.002476,            0.002476
                  40,            0.067228,            0.038354,            0.017148,             0.83511,               0.375,             0.61216,             0.25476,            0.062639,            0.036327,            0.019394,            0.002278,            0.002278,            0.002278
                  41,            0.063609,             0.03719,            0.017825,             0.80119,               0.375,             0.61601,             0.26544,            0.062163,            0.036182,            0.019229,             0.00208,             0.00208,             0.00208
                  42,            0.068001,            0.037767,            0.018601,             0.82262,               0.375,             0.60557,             0.27348,            0.059129,            0.036715,            0.019199,            0.001882,            0.001882,            0.001882
                  43,            0.066923,            0.035058,            0.018016,             0.84839,              0.4375,             0.60358,             0.27934,            0.060178,             0.03611,            0.019165,            0.001684,            0.001684,            0.001684
                  44,            0.065363,            0.031116,            0.016466,             0.84839,              0.4375,             0.60358,             0.27934,            0.060178,             0.03611,            0.019165,            0.001486,            0.001486,            0.001486
                  45,            0.061566,            0.039117,             0.01762,             0.81066,             0.41164,              0.5949,              0.2787,            0.059788,             0.03603,            0.019046,            0.001288,            0.001288,            0.001288
                  46,            0.066392,            0.035416,            0.018648,             0.83501,               0.375,             0.62256,             0.29746,            0.059355,            0.036057,            0.018933,             0.00109,             0.00109,             0.00109
                  47,            0.062744,            0.034809,            0.016963,             0.88814,             0.43413,             0.63398,              0.3099,              0.0584,            0.036142,            0.018903,            0.000892,            0.000892,            0.000892
                  48,            0.063545,            0.036831,            0.016985,             0.88814,             0.43413,             0.63398,              0.3099,              0.0584,            0.036142,            0.018903,            0.000694,            0.000694,            0.000694
                  49,            0.065697,            0.036047,            0.017314,               0.886,              0.4375,             0.63396,             0.31038,            0.057736,            0.036249,            0.018863,            0.000496,            0.000496,            0.000496
